brand,line,colour,speed,temp,code,qr,hex,key
Bambu Lab,ABS,Azure,200 mm/s,260 °C,40601,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#489FDF,bambu-lab/abs/basic/azure-40601
Bambu Lab,ABS,Bambu Green,200 mm/s,260 °C,40500,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#00AE42,bambu-lab/abs/basic/bambu-green-40500
Bambu Lab,ABS,Beige,200 mm/s,260 °C,40401,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#DFD1A7,bambu-lab/abs/basic/beige-40401
Bambu Lab,ABS,Black,200 mm/s,260 °C,40101,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#000000,bambu-lab/abs/basic/black-40101
Bambu Lab,ABS,Blue,200 mm/s,260 °C,40600,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#0A2CA5,bambu-lab/abs/basic/blue-40600
Bambu Lab,ABS,Grey,200 mm/s,260 °C,10103,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#8E9089,bambu-lab/abs/basic/grey-10103
Bambu Lab,ABS,Lavender,200 mm/s,260 °C,40701,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#7248BD,bambu-lab/abs/basic/lavender-40701
Bambu Lab,ABS,Mint,200 mm/s,260 °C,40501,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#ADF4DC,bambu-lab/abs/basic/mint-40501
Bambu Lab,ABS,Navy Blue,200 mm/s,260 °C,40602,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#0C2340,bambu-lab/abs/basic/navy-blue-40602
Bambu Lab,ABS,Olive,200 mm/s,260 °C,40502,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#789D4A,bambu-lab/abs/basic/olive-40502
Bambu Lab,ABS,Orange,200 mm/s,260 °C,40300,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#FF6A13,bambu-lab/abs/basic/orange-40300
Bambu Lab,ABS,Purple,200 mm/s,260 °C,40700,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#AF1685,bambu-lab/abs/basic/purple-40700
Bambu Lab,ABS,Red,200 mm/s,260 °C,40200,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#D32941,bambu-lab/abs/basic/red-40200
Bambu Lab,ABS,Silver,200 mm/s,260 °C,40102,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#87909A,bambu-lab/abs/basic/silver-40102
Bambu Lab,ABS,Tangerine Yellow,200 mm/s,260 °C,40402,https://3dfilamentprofiles.com/filaments/bambu-lab/abs/basic,#FFC72C,bambu-lab/abs/basic/tangerine-yellow-40402
